aluminium,flouride,bacteria,viruses,uranium,is_safe
1.65,0.05,0.2,0.0,0.02,1
2.32,0.9,0.65,0.65,0.05,1
1.01,0.99,0.05,0.003,0.01,0
1.36,1.08,0.71,0.71,0.05,1
0.92,0.61,0.13,0.001,0.02,1
0.94,0.11,0.67,0.67,0.02,1
2.36,0.33,0.13,0.007,0.08,0
3.93,0.86,0.16,0.005,0.07,0
0.6,0.98,0.35,0.002,0.08,1
0.22,1.24,0.83,0.83,0.01,1
3.27,1.29,0.04,0.008,0.06,0
1.35,0.58,0.52,0.52,0.08,1
1.88,0.09,0.91,0.91,0.05,1
4.93,1.07,0.7,0.7,0.03,1
2.89,0.54,0.2,0.009,0.02,1
0.61,0.62,0.23,0.001,0.03,1
3.47,1.43,0.89,0.89,0.08,1
2.11,0.34,0.85,0.85,0.01,1
4.88,0.99,0.75,0.75,0.05,0
4.12,0.22,0.99,0.99,0.07,1
0.68,1.0,0.92,0.92,0.08,1
1.15,1.46,0.58,0.58,0.06,1
0.27,0.43,0.8,0.8,0.06,1
4.32,1.44,0.56,0.56,0.08,0
2.36,0.29,0.96,0.96,0.06,0
3.31,1.0,0.25,0.007,0.05,1
1.82,1.35,0.16,0.002,0.08,1
3.42,0.53,0.44,0.002,0.0,0
4.41,0.26,0.69,0.69,0.05,1
4.57,1.41,0.08,0.006,0.0,0
1.69,0.87,0.13,0.008,0.05,1
1.87,0.51,0.77,0.77,0.04,1
2.71,0.91,0.38,0.005,0.08,1
1.63,1.24,0.12,0.006,0.05,0
0.01,0.0,0.8,0.8,0.0,0
4.49,0.55,0.3,0.002,0.04,1
3.52,1.24,0.75,0.75,0.06,1
4.35,0.42,0.44,0.006,0.0,1
2.51,0.4,0.13,0.004,0.05,0
2.34,0.34,0.26,0.003,0.05,0
1.71,0.68,0.63,0.63,0.06,0
3.45,0.51,0.86,0.86,0.07,0
3.37,1.2,0.32,0.003,0.08,1
3.13,1.04,0.49,0.001,0.03,0
0.29,0.36,0.13,0.008,0.02,0
1.51,1.42,0.27,0.002,0.0,1
1.09,1.04,0.08,0.007,0.08,0
0.94,0.52,0.38,0.002,0.05,0
2.68,0.14,0.27,0.004,0.09,1
0.3,0.89,0.67,0.67,0.01,1
0.23,1.33,0.05,0.001,0.08,1
2.55,1.2,0.77,0.77,0.06,1
0.86,0.59,0.18,0.007,0.01,0
4.32,0.66,0.06,0.008,0.01,1
0.24,0.9,0.58,0.58,0.05,1
3.63,0.75,0.79,0.79,0.03,0
3.26,0.1,0.84,0.84,0.07,0
0.42,0.15,0.23,0.007,0.05,1
0.77,1.01,0.42,0.0,0.0,1
0.6,0.83,0.77,0.77,0.08,1
0.58,0.03,0.98,0.98,0.02,1
3.82,1.47,0.05,0.008,0.05,1
2.78,1.28,0.23,0.008,0.08,1
3.62,0.45,0.24,0.002,0.03,1
3.88,0.52,0.74,0.74,0.02,0
4.64,0.02,0.76,0.76,0.09,1
2.25,0.14,0.06,0.004,0.06,1
0.54,0.2,0.51,0.51,0.05,1
4.62,0.32,0.65,0.65,0.01,1
2.5,1.09,0.72,0.72,0.03,1
3.08,0.36,0.27,0.006,0.05,1
3.03,0.61,0.52,0.52,0.02,0
2.85,1.13,0.05,0.004,0.04,0
1.38,0.26,0.07,0.008,0.04,0
2.73,0.13,0.79,0.79,0.06,1
3.02,0.32,0.53,0.53,0.02,1
1.96,1.14,0.45,0.004,0.04,0
2.35,0.52,0.39,0.007,0.01,1
2.45,0.22,0.25,0.008,0.03,1
2.67,1.21,0.83,0.83,0.05,0
1.12,0.5,0.1,0.008,0.02,0
3.3,0.28,0.53,0.53,0.09,1
0.43,0.43,0.27,0.007,0.05,0
1.19,0.3,0.18,0.004,0.0,1
0.85,0.32,0.31,0.002,0.02,1
4.64,0.58,0.96,0.96,0.08,0
0.5,0.68,0.11,0.006,0.01,1
4.75,0.86,0.64,0.64,0.06,0
1.89,0.01,0.76,0.76,0.05,1
3.75,1.09,0.57,0.57,0.01,1
3.32,1.16,0.79,0.79,0.0,0
1.75,0.69,0.82,0.82,0.07,1
0.94,1.29,0.86,0.86,0.02,1
2.66,0.66,0.58,0.58,0.06,0
2.76,0.86,0.87,0.87,0.08,1
0.43,1.25,0.7,0.7,0.07,1
2.63,0.69,0.55,0.55,0.08,1
2.85,0.62,0.14,0.006,0.05,0
0.04,0.68,0.45,0.006,0.04,0
0.88,1.48,0.75,0.75,0.02,1
3.03,0.76,0.51,0.51,0.08,1
2.22,1.42,1.0,1.0,0.05,0
4.91,0.97,0.23,0.006,0.07,1
1.15,0.73,0.47,0.0,0.02,1
4.8,1.49,0.58,0.58,0.0,1
0.47,0.08,0.51,0.51,0.06,0
1.62,1.21,0.33,0.001,0.01,1
2.68,0.87,0.67,0.67,0.01,1
0.09,1.29,0.82,0.82,0.04,1
4.66,0.89,0.09,0.005,0.08,1
2.74,0.73,0.53,0.53,0.05,1
1.79,1.21,0.65,0.65,0.05,0
2.5,1.18,0.75,0.75,0.07,0
3.52,0.26,0.28,0.009,0.04,1
4.15,1.01,0.19,0.008,0.01,0
3.78,0.5,0.7,0.7,0.02,0
1.82,0.29,0.78,0.78,0.04,1
2.91,0.42,0.75,0.75,0.03,1
4.3,0.25,0.02,0.0,0.0,0
3.24,0.76,0.57,0.57,0.08,0
3.53,0.89,0.55,0.55,0.09,1
3.04,0.66,0.09,0.008,0.02,1
